file,relative_path,label,speaker,gender,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
1.mp3,DeepFake\Female\G3002,0,G3002,Female,40.3484,0.053911094,39.33356,40.792065,41.64678,2.3132172,57.45576,24.437008,24.974644,19.391956,0.75068957,0.5863136,0.25951952,0.7961184,1.1653196,0.90580004,8.248955,3.7751846,6.8599606,2.7429183,0.36320853,0.8054378,20.360567,0.67971057,14.627815,0.79781014,-7.003591,-2.352168,-10.563035,-1.4929979,0.02213907,1.5388685,0.93896365,1.0840774,11.77979,0.3497803,11.598482,0.50198996,28.404207,0.39083394,810.3231,0.23528978,1352.7961,0.1581757,-88.94043,-0.91175145,1866.1161,0.11923224,1104.0262,0.22086403,-87.961494,-0.8399438,2956.48,0.08807629,1074.5648,0.2857105,-92.232254,-0.7657538,-19.456041,-0.560069,29.373392,0.42945796,0.04814224,0.41471514,-0.024093226,-0.66427124,0.448783,0.60866934,23.007242,0.5527556,13.883908,0.92935944,-11.627087,-1.3274713,-14.720867,-1.0300326,-14.278927,24.86585,0.019290982,-0.008165545,0.2095787,4.2763157,3.6789298,0.17181818,0.1170717,0.0725,0.06759253,-17.525782
10.mp3,DeepFake\Female\G3002,0,G3002,Female,41.504837,0.0549854,39.371902,41.949738,43.53197,4.1600685,30.881502,14.1197,22.640627,15.947425,0.72318345,0.6596581,0.19685979,0.77913105,1.1250428,0.928183,10.353926,4.26944,8.936149,3.7787127,0.3938462,0.7685719,24.865559,0.38981327,11.243353,1.1467032,-8.437232,-2.099303,-19.557306,-1.0461068,0.017867958,1.2746311,0.96566975,1.0960333,12.6139,0.27206185,8.122394,0.8654028,27.335073,0.39798626,853.56726,0.2060845,1234.0598,0.14366598,-78.8135,-1.0243281,1931.3285,0.12754509,1070.2963,0.20043217,-84.06845,-0.85409737,3029.1497,0.07934734,911.7259,0.31177944,-87.05119,-0.80011636,-17.34124,-0.543303,31.59282,0.33862895,0.058174085,0.31579524,-0.019744897,-0.80168056,0.5023656,0.5371657,26.23213,0.35742295,11.580509,1.180044,-13.814142,-1.205895,-28.001577,-0.6103628,-15.578038,27.588194,-0.0010123705,0.0012182298,0.15956156,4.580153,2.3346305,0.29333332,0.20022209,0.111666664,0.07690181,-17.938622
100.mp3,DeepFake\Female\G3002,0,G3002,Female,37.71248,0.055385556,35.20089,37.791447,39.904694,4.703804,69.88926,43.19079,16.530645,13.8096895,0.6665437,0.86542827,0.085330665,0.5757203,1.2099819,1.1246512,14.15294,10.295936,7.5611234,3.979505,0.31522825,0.946163,26.701931,0.35350895,13.31443,1.0583999,1.2381926,13.480124,-7.0209694,-2.1817532,0.014031057,1.1958623,0.71444786,1.2054056,11.453838,0.29804075,12.08972,0.71972346,30.584295,0.22583789,792.3378,0.20762618,1317.7258,0.15807284,-91.80851,-0.9219007,1858.8811,0.13376546,1040.7799,0.31373808,-95.800514,-0.8300341,2994.955,0.097586274,974.2565,0.35381222,-100.95648,-0.7471751,-17.707323,-0.6068795,30.652714,0.30305502,0.03659996,0.73593926,-0.018875131,-0.8974171,0.44118136,0.69468164,29.46139,0.2516328,11.9000435,1.3333621,-2.7836268,-6.3845844,-13.761774,-0.9895802,-18.787035,30.691612,-0.014328802,-0.0033112306,0.14165811,3.7037036,2.7173915,0.216,0.113947354,0.10833333,0.08008676,-17.706347
101.mp3,DeepFake\Female\G3002,0,G3002,Female,41.00152,0.07077796,38.991745,41.111237,43.52884,4.537094,152.84485,105.83014,17.925686,6.202608,0.9114206,0.6750759,0.2515982,0.8816444,1.504977,1.2533787,15.248853,5.7723074,11.937984,5.152263,0.42337516,0.8872715,18.076908,0.71068627,4.8781996,2.7748058,-8.085848,-1.7921021,-9.618527,-1.9047934,0.018359685,3.0779207,0.9316159,1.1682155,11.7651,0.34139344,6.1289506,0.97706354,22.659775,0.33895934,864.2179,0.20235872,1320.778,0.23868316,-77.88476,-1.0853064,1906.9109,0.12283082,1073.0067,0.26980767,-79.6241,-0.98235536,2964.204,0.083537295,1066.1907,0.35709274,-85.09008,-0.87442434,-14.375837,-0.62138104,24.999622,0.42699265,0.052576203,0.35106906,-0.013355882,-1.6435883,0.5584864,0.65396905,22.1565,0.42938253,3.5613978,3.8740947,-12.497626,-1.1247052,-15.432816,-1.1039412,-5.533558,14.726782,0.006954493,0.0056575825,0.15196581,5.058366,1.984127,0.338,0.47482207,0.12,0.071414284,-16.72362
102.mp3,DeepFake\Female\G3002,0,G3002,Female,36.614265,0.027685046,35.62853,36.464733,37.71804,2.0895119,23.40975,16.36406,12.33885,10.502349,0.51210374,0.670805,0.07395417,0.5493906,0.8142235,0.74026936,6.4446917,3.608136,6.0926485,1.8919387,0.1567969,0.80190384,19.502861,0.6410048,10.915997,1.2263837,-5.8372445,-2.5626342,-4.658138,-3.961023,0.015219153,1.0562226,0.9267585,1.1263036,9.436551,0.3941387,3.5409055,2.3076224,22.98774,0.6015597,771.5288,0.2312009,1333.9901,0.2037517,-83.48219,-1.0672632,1804.9839,0.16278142,1159.9003,0.31171805,-86.10864,-0.9590692,2879.7322,0.10966996,1076.6254,0.33152512,-92.0026,-0.85004497,-12.334222,-0.90733635,23.066648,0.47448838,0.06625227,0.31008554,-0.0097528985,-2.6682932,0.21159336,0.52480435,22.099451,0.5122807,9.778162,1.6415368,-10.656785,-1.2322266,-9.538027,-2.1641552,-14.102145,23.741232,-0.003059925,-0.00012649916,0.07048226,4.830918,1.980198,0.315,0.16393596,0.13399999,0.09090654,-26.597572
103.mp3,DeepFake\Female\G3002,0,G3002,Female,40.494034,0.08314093,36.668625,41.292465,43.90704,7.238415,101.561134,99.26683,21.147886,4.7081037,0.650003,0.69283587,0.13746528,0.61340785,1.0966694,0.95920414,8.296084,7.2466707,7.12896,3.4201188,0.3589737,0.77872175,20.806177,0.70395535,15.323959,0.6886802,0.38379887,37.335854,-11.337818,-1.5835888,0.02024923,1.3302544,0.9783954,1.2309215,11.935501,0.32624298,9.096492,0.74977213,24.42483,0.52451205,841.02454,0.23759504,1295.9274,0.12615643,-93.049194,-0.88918996,1922.2367,0.1388593,1086.7212,0.22485286,-94.798355,-0.7929978,2996.8706,0.08310325,935.27515,0.35251036,-96.46633,-0.7629464,-18.857897,-0.4389863,30.525723,0.3574374,0.049588136,0.57609665,-0.014496448,-1.0624567,0.45150927,0.6421993,23.108961,0.6204592,15.479487,0.7087593,-5.4465404,-2.2705011,-20.456482,-0.763351,-18.612522,27.99735,-0.021220945,2.1168915e-05,0.20215444,4.3478265,2.793296,0.22,0.19339079,0.11399999,0.06019967,-17.71904
104.mp3,DeepFake\Female\G3002,0,G3002,Female,36.35684,0.056100123,34.05551,36.505177,38.541344,4.485832,92.49955,33.48269,12.98667,6.019125,0.74126524,0.74564224,0.14749424,0.74965906,1.16575,1.0182558,8.966668,4.6983366,10.987245,6.2224336,0.30439147,0.9128643,18.252604,0.7418189,16.65855,0.8377288,-3.0043154,-4.967799,-9.669382,-1.7361945,0.012325405,1.2110847,0.70974797,0.85321426,9.8047495,0.3504105,10.802048,0.75901425,29.085436,0.27420533,790.01337,0.22811902,1361.2826,0.17613582,-94.01219,-0.9471517,1849.6,0.14955245,1115.0973,0.21417537,-98.06072,-0.8232713,2933.4382,0.08799887,1018.61365,0.40659073,-101.32774,-0.76779497,-13.364056,-0.8230693,24.670166,0.44697666,0.05628908,0.4979921,-0.017864263,-0.94398165,0.3720157,0.7095428,21.705935,0.59841436,15.60578,1.0308751,-6.2929864,-2.405393,-16.862692,-0.9029754,-14.149216,23.176384,0.014487137,-0.0031212887,0.23063453,3.3816426,3.4653466,0.16,0.05879747,0.09375,0.047942024,-20.546862
105.mp3,DeepFake\Female\G3002,0,G3002,Female,39.026115,0.047893275,37.40801,39.420242,40.62772,3.2197113,12.4655485,8.824718,20.973783,16.020247,0.7560671,0.7966967,0.13572504,0.7855026,1.1463287,1.0106037,11.804803,7.146183,10.337196,5.490237,0.3123958,0.9285194,23.78433,0.48156998,11.161053,1.3199292,-2.7718308,-6.4423485,-10.818273,-1.5607467,0.017072253,1.2702798,0.9647946,1.0980117,11.376523,0.31703272,8.885183,0.8803629,25.734734,0.32337835,877.4197,0.19289158,1261.8617,0.16419023,-64.97842,-1.2016795,1939.4197,0.11653232,1102.7236,0.2315811,-72.48772,-0.9677681,3008.8303,0.07753356,975.73035,0.3437264,-76.07942,-0.8872193,-16.023756,-0.6273693,29.714176,0.35681084,0.04816194,0.5164863,-0.015636858,-1.0899922,0.38550928,0.76340777,26.008558,0.41776824,11.37203,1.439288,-6.757108,-2.674203,-14.867828,-1.1124598,-12.483238,22.181673,-0.00081421767,0.004389429,0.110339396,3.8910506,1.984127,0.372,0.119063005,0.09166667,0.06175669,-18.634096
106.mp3,DeepFake\Female\G3002,0,G3002,Female,37.116974,0.06656516,34.159138,36.965157,39.801487,5.6423492,88.317566,66.77285,29.358997,17.445122,0.745644,0.69892186,0.097892925,0.7191719,1.2138506,1.1159577,12.917112,8.273288,16.559654,11.866481,0.4619823,0.91384214,26.408358,0.52791214,11.357989,0.8882228,-3.007509,-5.1724596,-6.3087206,-2.4473407,0.019472253,0.8811795,0.9884288,0.82735,9.926389,0.30130523,10.085872,0.8206229,30.172733,0.3685506,717.3465,0.2702595,1448.4454,0.17383483,-84.14224,-1.0128163,1733.9333,0.17517182,1128.1964,0.19819145,-80.528015,-0.9653887,2858.463,0.107049204,998.85736,0.19383834,-88.37636,-0.8199185,-14.059132,-0.60800743,30.736965,0.368981,0.04294873,0.60899425,-0.01434917,-1.1814687,0.5734138,0.67314595,30.847746,0.45313424,9.470831,1.1843722,-8.1536,-1.6105902,-12.722415,-1.0937992,-20.842197,32.562737,-0.034382448,0.0048047556,0.2816419,5.0000005,2.5806453,0.255,0.13313527,0.107499994,0.07562242,-18.211735
107.mp3,DeepFake\Female\G3002,0,G3002,Female,37.66999,0.047006965,35.756866,38.121315,39.496357,3.7394905,55.52488,41.189217,15.247758,6.453388,0.6556758,0.73961747,0.13661802,0.59371924,1.1657892,1.0291712,10.492099,7.37597,8.625346,5.482792,0.33985412,1.0830522,24.651047,0.5897549,15.725339,0.58325887,-3.6726909,-4.4901977,-14.620237,-1.124538,0.013962593,1.0607651,1.0331129,0.99194556,10.779449,0.30192986,8.48466,1.0763907,32.31858,0.29073435,679.8349,0.30109212,1421.8768,0.25799686,-87.857445,-1.0091592,1721.9917,0.1860011,1119.9003,0.24463375,-88.93968,-0.8940421,2887.2227,0.103264354,984.4562,0.3337507,-95.25891,-0.78529423,-15.2217655,-0.44416615,29.882019,0.37875414,0.053650744,0.49336207,-0.024665022,-0.63620234,0.47071093,0.83148694,30.407352,0.40793368,13.922758,0.7030651,-8.71668,-1.9713637,-21.91378,-0.6393726,-17.706991,27.611628,-0.014788891,-0.0043490566,0.12293739,3.804348,2.234637,0.28,0.088034086,0.116000004,0.069742374,-18.504848
108.mp3,DeepFake\Female\G3002,0,G3002,Female,38.103657,0.06277199,35.328716,38.40976,40.35701,5.0282936,51.077957,29.912401,14.105141,13.642483,0.7249732,0.8796757,0.11221826,0.5964791,1.3080127,1.1957945,12.103094,6.611813,11.168943,4.393619,0.28446075,1.0466393,17.861525,0.6979416,12.950009,1.0905405,0.3033971,53.28864,-6.8870683,-2.2918406,0.018546294,1.3244065,0.8038187,0.9374489,10.655805,0.344431,8.274666,0.87626445,23.887781,0.36308065,778.0455,0.26309308,1322.8074,0.17996493,-95.38995,-0.92331225,1800.2067,0.13963717,1111.2837,0.23624434,-95.582726,-0.8590843,2873.204,0.094699405,919.29755,0.30562332,-99.4249,-0.78978467,-12.824191,-0.74370724,23.245226,0.4449028,0.048328426,0.4445359,-0.012077587,-1.7419664,0.4193902,0.7416057,21.38705,0.51999235,8.675864,1.7357503,-7.3418155,-2.1185293,-12.242272,-1.3135561,-15.806229,23.266764,-0.0028766557,-0.0018570323,0.10442746,3.8647344,2.970297,0.19166666,0.18933363,0.105714284,0.092095785,-18.702177
109.mp3,DeepFake\Female\G3002,0,G3002,Female,39.555195,0.05970346,36.92564,39.941578,41.473618,4.5479774,19.649862,9.22832,11.519527,5.839158,0.8028281,0.7469357,0.14610875,0.87160826,1.311552,1.1654433,12.752621,7.4599495,8.140428,3.747478,0.3364088,0.96236914,21.885914,0.52431595,8.338417,1.7224673,-6.4312344,-3.2616687,-11.389441,-1.575317,0.014653757,1.1630702,0.8335898,1.0861683,11.095929,0.4433919,8.145714,0.67420346,26.153807,0.5340146,829.2475,0.20187578,1271.2788,0.19092223,-77.05633,-1.0822903,1900.0822,0.118036255,1024.3157,0.21591382,-79.45248,-0.9478156,2988.0376,0.081670724,940.2212,0.34223562,-83.895164,-0.86383605,-15.790967,-0.76555467,28.036602,0.44769067,0.047905132,0.44854328,-0.015238252,-1.5447762,0.43426004,0.7041431,23.58963,0.4607618,7.353144,2.1565259,-9.294999,-2.2966554,-17.48712,-0.99381524,-12.770724,24.978794,-0.0040792543,0.004779457,0.12221357,4.0,2.222222,0.30833334,0.22033435,0.118333325,0.073805295,-17.473158
11.mp3,DeepFake\Female\G3002,0,G3002,Female,40.25027,0.03840673,39.276394,40.303173,41.566235,2.2898407,37.230766,24.162628,39.808792,38.71073,0.8655179,0.7319875,0.11126526,0.8704629,1.4574077,1.3461424,15.382033,8.650629,11.3953,3.9379072,0.43436548,0.8317913,20.509254,0.48584086,8.7952795,1.6381598,-3.0655265,-5.6326003,-9.713739,-1.512342,0.023271011,1.0741842,1.1013538,1.057595,10.661247,0.38709873,10.1598625,0.7270321,23.358713,0.40681505,875.3426,0.20166552,1339.4886,0.2589754,-79.85686,-1.0521228,1917.0791,0.101426214,1107.5582,0.26498747,-81.70415,-0.95491475,3038.4736,0.08643972,1015.98,0.3867825,-86.06642,-0.86678237,-15.17537,-0.5954703,27.492767,0.36881748,0.042899553,0.30458808,-0.014344481,-1.0811492,0.5826548,0.5523919,22.30174,0.502644,7.4099536,2.2253556,-8.276576,-2.0640497,-15.743512,-0.7972536,-18.10252,27.16837,-0.019786654,-0.0036119716,0.14146207,3.7037036,1.6304349,0.4133333,0.07760297,0.1325,0.08166242,-17.849829
